#T eMean sigmaE mMean sigmaM 
1.176000 2041.599976 61.539688 1022.400024 3.752578
1.180000 2037.199951 77.108948 1021.200012 4.910069
1.184000 2034.800171 102.014511 1020.600037 7.190249
1.188000 2034.400024 86.790665 1020.399963 6.289736
1.192000 2037.599976 52.089493 1021.400024 3.177627
1.196000 2037.999878 36.497559 1021.400024 2.365127
1.200000 2037.600098 77.092033 1021.400024 4.802627
1.204000 2028.800049 66.611877 1019.200012 4.085117
1.208000 2031.199951 95.758362 1019.800049 5.797910
1.212000 2037.599976 51.839493 1021.400024 3.115127
1.216000 2036.800049 28.061094 1021.200073 1.535410
1.220000 2034.799927 58.258068 1020.600037 3.940249
1.224000 2032.800049 69.461487 1020.200012 4.247593
1.228000 2033.199829 97.204941 1020.200012 6.685093
1.232000 2027.999878 106.495117 1018.800049 8.898007
1.236000 2038.000000 55.500000 1021.400024 3.990127
1.240000 2034.400024 99.790665 1020.400024 6.852676
1.244000 2034.799927 138.258072 1020.400085 10.915615
1.248000 2036.000122 108.502930 1020.600037 10.377749
1.252000 2033.600098 192.642807 1020.200073 13.810556
1.256000 2035.199951 70.158752 1020.600037 5.440249
1.260000 2033.599976 371.889282 1020.200012 25.935093
1.264000 2028.000000 157.000000 1019.000000 9.750000
1.268000 2032.799927 67.207771 1020.000061 4.625488
1.272000 2022.800171 143.468613 1017.000000 14.562500
1.276000 2033.600098 38.642811 1020.200012 2.685093
1.280000 2033.999878 116.496582 1020.200073 8.935556
1.284000 2028.399902 168.336166 1019.000061 11.313110
1.288000 2028.000000 294.750000 1018.600037 22.340395
1.292000 2031.599976 113.289200 1019.599976 7.889785
1.296000 2022.000000 170.250000 1017.399963 11.377017
1.300000 2022.800049 70.462463 1017.200012 6.510166
1.304000 2018.000000 253.750000 1016.000000 21.625000
1.308000 2034.399780 113.534027 1020.400024 8.602675
1.312000 2021.199951 208.507385 1016.999939 13.936646
1.316000 2023.999878 141.744141 1018.000061 8.688232
1.320000 2025.200073 140.413345 1017.000000 18.625000
1.324000 2020.799927 211.156021 1016.799988 17.784824
1.328000 2026.399902 110.185783 1018.200012 8.360142
1.332000 2024.400024 241.291153 1017.599976 19.102188
1.336000 2022.400024 320.641235 1016.799988 36.909824
1.340000 2032.000000 137.500000 1019.800049 10.610410
1.344000 2027.199951 127.857971 1018.599976 8.839736
1.348000 2024.000122 271.505859 1017.600037 22.102968
1.352000 2024.400024 279.791138 1017.599976 17.477188
1.356000 2023.599976 228.638809 1017.400024 19.127823
1.360000 2020.799927 332.406006 1016.400024 24.552872
1.364000 2026.799927 64.306892 1018.599976 4.902236
1.368000 2028.000000 192.250000 1018.200012 25.922642
1.372000 2022.799927 227.956314 1017.400024 15.190322
1.376000 2016.800049 280.563049 1015.800049 20.135801
1.380000 2008.400146 289.101593 1013.600037 22.215761
1.384000 2023.600098 173.644760 1017.399963 16.064516
1.388000 2015.599976 263.988403 1014.999939 24.436401
1.392000 2020.399902 129.734604 1016.799988 9.784824
1.396000 2013.999878 202.741699 1014.800049 24.860899
1.400000 2006.800049 371.314026 1012.400024 30.190567
1.404000 2012.400146 119.400429 1014.799988 8.172276
1.408000 2015.999878 144.492188 1015.799988 10.822300
1.412000 2017.600098 99.595940 1015.800049 5.885801
1.416000 2012.800049 177.963440 1014.599915 18.575893
1.420000 2016.399902 171.183823 1015.399963 19.351870
1.424000 2016.400024 180.441544 1015.199951 16.246641
1.428000 2014.799805 177.247025 1014.799988 17.797276
1.432000 2011.599854 229.279343 1014.200012 18.835239
1.436000 2015.199951 185.406799 1015.199951 15.434140
1.440000 2004.000000 246.250000 1011.000000 49.000000
1.444000 2008.799927 211.104263 1013.199951 19.421446
1.448000 2011.199951 271.506409 1013.400024 24.015518
1.452000 2013.199951 237.206604 1014.399963 18.276796
1.456000 2006.800049 649.314026 1013.000000 47.312500
1.460000 2008.400024 132.091934 1013.399963 12.139224
1.464000 1994.000000 295.500000 1009.000061 22.501831
1.468000 2012.000000 265.250000 1014.399963 23.089296
1.472000 2002.400024 282.142212 1011.399963 20.864077
1.476000 1998.400024 384.592407 1010.399963 26.351503
1.480000 2006.799927 387.553955 1012.400024 42.253067
1.484000 2001.599854 318.026398 1011.000000 36.187500
1.488000 2003.599976 452.637817 1011.799988 33.972202
1.492000 1994.800049 365.015198 1009.600037 27.016054
1.496000 1984.400024 676.293091 1007.399963 48.938786
1.500000 1989.999878 615.485840 1008.599976 50.464249
1.504000 1999.600098 634.199463 1010.599915 57.812710
1.508000 1983.600098 996.152588 1006.799927 72.282478
1.512000 1997.200073 268.367432 1010.199951 23.683653
1.516000 1989.599854 916.422913 1007.600037 88.541199
1.520000 2002.799927 762.203369 1011.399963 56.864079
1.524000 1992.400024 254.392715 1008.799927 25.895273
1.528000 1997.200073 435.117432 1010.400024 33.415665
1.532000 1991.599854 421.523468 1008.000061 39.876953
1.536000 1992.000000 128.000000 1008.400024 14.890761
1.540000 1988.400024 535.592896 1007.600037 56.603703
1.544000 1998.799927 109.352791 1010.199951 13.246152
1.548000 1991.599976 577.537231 1007.599976 73.476700
1.552000 1983.200073 335.219482 1006.200073 35.350109
1.556000 2001.599976 186.287735 1011.400024 15.990615
1.560000 1990.800049 655.665588 1007.200012 60.072910
1.564000 1985.599976 800.986938 1007.000000 66.625000
1.568000 1976.399902 145.676010 1003.200073 24.925547
1.572000 1985.600098 185.752182 1007.599976 14.289199
1.576000 1985.599976 548.236938 1006.200012 75.472931
1.580000 1980.399902 670.726807 1004.799988 71.359528
1.584000 1968.000000 614.500000 1001.599976 50.363907
1.588000 1982.400024 637.143188 1006.399963 52.613712
1.592000 1971.599854 264.517609 1001.799988 50.846958
1.596000 1973.199951 211.702698 1002.200012 31.510532
1.600000 1983.600098 567.402588 1005.799927 55.694836
1.604000 1978.800171 501.883667 1003.600037 46.091496
1.608000 1972.000122 233.268555 1002.799988 18.621983
1.612000 1977.199951 323.603088 1004.199951 26.833067
1.616000 1962.400146 1046.415039 999.199951 116.270081
1.620000 1960.000000 774.000000 998.599976 74.526260
1.624000 1977.199951 570.103088 1004.800049 50.486874
1.628000 1979.199951 242.803284 1004.599976 16.889053
1.632000 1953.199951 937.950745 997.400024 107.066299
1.636000 1963.199951 815.701721 1000.200012 75.435577
1.640000 1956.400024 519.694458 997.199951 67.507385
1.644000 1958.399902 551.572510 997.400024 68.753799
1.648000 1972.000000 531.000000 1001.800049 54.599667
1.652000 1962.000122 439.020996 998.999939 38.746948
1.656000 1967.599976 539.086060 1000.999939 60.184692
1.660000 1950.800049 1170.669434 995.400024 113.666397
1.664000 1969.199951 499.802307 1000.799988 65.759430
1.668000 1942.799805 1246.168945 993.600037 114.154724
1.672000 1963.200073 356.972412 1000.799927 37.131603
1.676000 1963.999878 400.479492 999.200012 69.773102
1.680000 1960.800049 395.918518 998.400085 59.769375
1.684000 1958.800049 1148.618652 998.600037 116.654358
1.688000 1939.599976 522.934692 990.000000 53.562500
1.692000 1933.200073 1634.726807 991.199951 148.219299
1.696000 1929.600098 829.463135 988.199951 107.669006
1.700000 1954.399902 1313.271729 996.399963 131.050476
1.704000 1949.599976 503.185181 995.200012 50.498203
1.708000 1921.199951 1660.747559 986.399963 247.112244
1.712000 1946.400024 1283.944946 994.200012 124.273224
1.716000 1947.199951 518.100159 995.800049 50.637753
1.720000 1936.000000 1337.250000 990.400024 258.291626
1.724000 1922.799927 707.691650 986.400024 42.116837
1.728000 1927.200073 530.127686 986.800049 53.663631
1.732000 1932.800171 1131.249390 989.600037 137.330017
1.736000 1928.000000 1292.750000 988.600037 139.967590
1.740000 1928.800171 1771.650757 987.400024 269.566772
1.744000 1930.799927 2109.142822 987.999939 316.183105
1.748000 1915.599976 801.733521 983.400024 125.579483
1.752000 1931.600098 1354.812744 989.199951 175.456604
1.756000 1920.000122 1097.281250 987.999939 100.120605
1.760000 1925.199951 1072.647949 988.400024 95.016739
1.764000 1912.000000 1020.500000 982.199951 96.505920
1.768000 1912.400024 1178.896606 981.200012 230.536041
1.772000 1920.000000 1379.250000 986.400024 163.741837
1.776000 1904.400024 1108.546997 980.000000 195.937500
1.780000 1912.799927 1215.690186 983.000061 139.380005
1.784000 1931.999878 1005.471680 988.400024 163.829239
1.788000 1900.000122 1148.286133 978.000000 176.000000
1.792000 1911.599976 798.033325 982.000000 116.750000
1.796000 1898.800049 652.624573 978.000061 98.318115
1.800000 1879.199951 2300.043457 969.399963 611.273499
1.804000 1923.599854 680.353577 987.399963 101.812317
1.808000 1891.199951 1333.994629 975.600037 260.631042
1.812000 1920.399902 542.465088 985.799988 91.571564
1.816000 1906.800171 662.108276 982.199951 103.630920
1.820000 1890.000000 2659.750000 971.000000 889.000000
1.824000 1883.199951 1628.443848 969.599976 353.512329
1.828000 1885.200073 2623.683838 968.799988 511.333649
1.832000 1893.599976 2019.632446 975.399963 328.223938
1.836000 1876.000000 1507.250000 973.399963 154.511292
1.840000 1891.200073 1288.782959 976.000000 167.250000
1.844000 1877.999878 890.958496 971.799988 82.033722
1.848000 1871.200073 1323.785889 968.999939 161.930786
1.852000 1875.200073 1947.685303 970.999939 269.868530
1.856000 1862.000122 3651.545410 961.199951 741.778870
1.860000 1876.400024 1716.948364 973.000061 229.693726
1.864000 1874.799927 845.234619 968.799988 235.333649
1.868000 1854.800049 1587.028809 963.600037 206.219421
1.872000 1887.199951 2553.094238 972.599976 253.724991
1.876000 1877.599854 1610.790039 970.800049 264.015198
1.880000 1855.200073 1797.438232 960.599915 371.429169
1.884000 1850.400024 2125.249756 960.000000 400.000000
1.888000 1839.199951 2316.539551 958.399963 251.072693
1.892000 1890.400024 851.997681 972.799927 172.302505
1.896000 1859.199951 1567.541504 964.000061 259.882324
1.900000 1836.400146 1533.501953 960.399963 160.660339
1.904000 1877.599854 804.290100 970.000000 167.937500
1.908000 1862.800049 1068.728027 963.800049 322.653381
1.912000 1844.800171 2642.079346 959.199951 418.578674
1.916000 1842.799927 1510.679932 953.599976 358.336548
1.920000 1855.599976 2590.480713 961.200012 387.349030
1.924000 1865.200073 934.436768 962.999939 190.742554
1.928000 1834.799927 1897.978760 954.799927 445.037354
1.932000 1827.999878 2090.196289 953.200012 439.361725
